defect_edge,defect_r,defect_x,defect_x1,defect_x2,defect_y,defect_y1,defect_y2,filename,label,num_layers
,8,146,,,122,,,img_100.png,void,13
,,,,,,,,img_101.png,clean,12
,13,76,,,65,,,img_102.png,void,11
,,,,,,,,img_103.png,clean,17
,,,62,29,,233,242,img_104.png,scratch,18
right,,256,,,218,,,img_105.png,chip,18
,8,86,,,212,,,img_106.png,void,17
right,,256,,,122,,,img_107.png,chip,20
,,,139,129,,171,190,img_108.png,scratch,14
,,,118,156,,196,165,img_109.png,scratch,12
,,,,,,,,img_110.png,clean,13
,12,104,,,158,,,img_111.png,void,16
,,,,,,,,img_112.png,clean,16
,14,119,,,217,,,img_113.png,void,13
,10,142,,,21,,,img_114.png,void,10
,13,233,,,127,,,img_115.png,void,14
,,,249,233,,112,117,img_116.png,scratch,18
,15,106,,,191,,,img_117.png,void,10
,,,239,268,,65,83,img_118.png,scratch,16
,,,,,,,,img_119.png,clean,16
,7,54,,,138,,,img_120.png,void,11
right,,256,,,167,,,img_121.png,chip,10
,11,91,,,212,,,img_122.png,void,15
,,,,,,,,img_123.png,clean,14
,,,,,,,,img_124.png,clean,17
,,,,,,,,img_125.png,clean,18
,,,35,81,,20,-27,img_126.png,scratch,15
,,,,,,,,img_127.png,clean,13
,,,122,132,,64,99,img_128.png,scratch,19
,,,238,286,,131,128,img_129.png,scratch,19
,,,,,,,,img_130.png,clean,19
top,,13,,,0,,,img_131.png,chip,12
,6,203,,,70,,,img_132.png,void,16
,,,52,89,,154,180,img_133.png,scratch,19
,,,,,,,,img_134.png,clean,19
,6,189,,,114,,,img_135.png,void,15
top,,215,,,0,,,img_136.png,chip,18
,11,201,,,59,,,img_137.png,void,15
right,,256,,,238,,,img_138.png,chip,12
bottom,,44,,,256,,,img_139.png,chip,14
,12,106,,,27,,,img_140.png,void,17
,,,249,244,,108,91,img_141.png,scratch,15
top,,97,,,0,,,img_142.png,chip,14
,8,162,,,214,,,img_143.png,void,16
,5,134,,,222,,,img_144.png,void,17
bottom,,207,,,256,,,img_145.png,chip,11
right,,256,,,176,,,img_146.png,chip,19
right,,256,,,138,,,img_147.png,chip,15
,,,161,206,,61,79,img_148.png,scratch,11
,,,110,95,,247,289,img_149.png,scratch,12
top,,99,,,0,,,img_150.png,chip,18
top,,64,,,0,,,img_151.png,chip,12
bottom,,251,,,256,,,img_152.png,chip,18
,10,142,,,132,,,img_153.png,void,14
,,,,,,,,img_154.png,clean,12
,6,49,,,230,,,img_155.png,void,14
,15,38,,,167,,,img_156.png,void,16
,,,,,,,,img_157.png,clean,20
,,,155,136,,43,8,img_158.png,scratch,12
,,,194,200,,230,218,img_159.png,scratch,16
top,,50,,,0,,,img_160.png,chip,16
,,,,,,,,img_161.png,clean,14
,,,88,58,,38,-12,img_162.png,scratch,12
,8,94,,,28,,,img_163.png,void,17
right,,256,,,36,,,img_164.png,chip,14
,,,217,236,,58,36,img_165.png,scratch,20
bottom,,36,,,256,,,img_166.png,chip,12
right,,256,,,63,,,img_167.png,chip,14
right,,256,,,224,,,img_168.png,chip,16
left,,0,,,13,,,img_169.png,chip,16
,,,,,,,,img_170.png,clean,19
top,,89,,,0,,,img_171.png,chip,20
bottom,,223,,,256,,,img_172.png,chip,17
,15,105,,,102,,,img_173.png,void,15
,,,168,206,,210,223,img_174.png,scratch,11
,13,228,,,214,,,img_175.png,void,20
,9,42,,,100,,,img_176.png,void,10
,,,,,,,,img_177.png,clean,15
,,,,,,,,img_178.png,clean,16
,8,125,,,33,,,img_179.png,void,20
right,,256,,,226,,,img_180.png,chip,18
,,,147,186,,224,236,img_181.png,scratch,18
,,,81,101,,159,110,img_182.png,scratch,10
,,,,,,,,img_183.png,clean,16
,,,,,,,,img_184.png,clean,13
,,,,,,,,img_185.png,clean,17
,,,255,270,,149,189,img_186.png,scratch,20
,12,140,,,82,,,img_187.png,void,16
,,,196,222,,97,112,img_188.png,scratch,18
,,,,,,,,img_189.png,clean,12
,13,107,,,221,,,img_190.png,void,14
,,,,,,,,img_191.png,clean,14
right,,256,,,76,,,img_192.png,chip,14
right,,256,,,233,,,img_193.png,chip,15
,11,79,,,218,,,img_194.png,void,13
right,,256,,,195,,,img_195.png,chip,10
,,,253,219,,18,32,img_196.png,scratch,20
,,,,,,,,img_197.png,clean,15
,,,,,,,,img_198.png,clean,17
,7,23,,,204,,,img_199.png,void,18
,,,38,88,,240,223,img_200.png,scratch,16
,10,186,,,40,,,img_201.png,void,19
,12,101,,,180,,,img_202.png,void,20
,,,,,,,,img_203.png,clean,18
,,,,,,,,img_204.png,clean,19
bottom,,46,,,256,,,img_205.png,chip,13
,,,,,,,,img_206.png,clean,20
,,,153,108,,14,5,img_207.png,scratch,17
left,,0,,,220,,,img_208.png,chip,14
,,,87,47,,89,117,img_209.png,scratch,16
,,,254,233,,73,82,img_210.png,scratch,19
,5,85,,,190,,,img_211.png,void,14
bottom,,37,,,256,,,img_212.png,chip,17
,12,196,,,84,,,img_213.png,void,14
,,,196,159,,247,227,img_214.png,scratch,14
left,,0,,,151,,,img_215.png,chip,19
,,,,,,,,img_216.png,clean,14
,,,,,,,,img_217.png,clean,19
,8,233,,,93,,,img_218.png,void,19
bottom,,97,,,256,,,img_219.png,chip,19
,,,49,38,,20,70,img_220.png,scratch,20
bottom,,46,,,256,,,img_221.png,chip,10
,,,102,152,,67,86,img_222.png,scratch,16
bottom,,131,,,256,,,img_223.png,chip,18
,,,,,,,,img_224.png,clean,15
,,,,,,,,img_225.png,clean,17
,,,203,164,,187,187,img_226.png,scratch,12
,,,,,,,,img_227.png,clean,14
left,,0,,,195,,,img_228.png,chip,17
,13,26,,,178,,,img_229.png,void,13
,,,32,71,,237,225,img_230.png,scratch,15
,,,,,,,,img_231.png,clean,16
,,,,,,,,img_232.png,clean,12
right,,256,,,59,,,img_233.png,chip,10
,15,136,,,114,,,img_234.png,void,12
,7,170,,,210,,,img_235.png,void,18
,,,,,,,,img_236.png,clean,16
,10,91,,,28,,,img_237.png,void,17
,10,133,,,80,,,img_238.png,void,13
left,,0,,,31,,,img_239.png,chip,11
,8,43,,,189,,,img_240.png,void,11
,,,,,,,,img_241.png,clean,20
bottom,,64,,,256,,,img_242.png,chip,10
,,,110,102,,119,168,img_243.png,scratch,18
,,,,,,,,img_244.png,clean,19
,,,66,38,,128,92,img_245.png,scratch,14
,,,7,57,,183,163,img_246.png,scratch,10
,,,,,,,,img_247.png,clean,15
top,,64,,,0,,,img_248.png,chip,12
,10,134,,,219,,,img_249.png,void,11
,,,,,,,,img_250.png,clean,18
,,,22,30,,154,186,img_251.png,scratch,17
,11,236,,,122,,,img_252.png,void,10
,,,,,,,,img_253.png,clean,20
,10,38,,,40,,,img_254.png,void,17
,,,33,18,,64,93,img_255.png,scratch,19
right,,256,,,150,,,img_256.png,chip,19
,,,,,,,,img_257.png,clean,16
,,,220,199,,231,233,img_258.png,scratch,11
,6,126,,,206,,,img_259.png,void,17
,9,100,,,190,,,img_260.png,void,15
,,,242,203,,34,-6,img_261.png,scratch,15
,,,,,,,,img_262.png,clean,16
,,,30,65,,168,133,img_263.png,scratch,15
,9,204,,,33,,,img_264.png,void,15
left,,0,,,53,,,img_265.png,chip,19
,,,55,76,,179,176,img_266.png,scratch,17
,,,219,246,,13,47,img_267.png,scratch,14
,,,,,,,,img_268.png,clean,14
left,,0,,,173,,,img_269.png,chip,12
,15,37,,,56,,,img_270.png,void,12
,,,,,,,,img_271.png,clean,10
,,,192,200,,214,207,img_272.png,scratch,18
left,,0,,,43,,,img_273.png,chip,15
,,,,,,,,img_274.png,clean,19
,,,,,,,,img_275.png,clean,20
,12,189,,,128,,,img_276.png,void,14
,8,126,,,89,,,img_277.png,void,19
,,,,,,,,img_278.png,clean,18
,15,48,,,92,,,img_279.png,void,15
,9,154,,,190,,,img_280.png,void,20
,,,202,152,,28,4,img_281.png,scratch,10
,,,130,121,,148,113,img_282.png,scratch,13
,11,64,,,53,,,img_283.png,void,17
,,,256,215,,181,181,img_284.png,scratch,18
,6,24,,,137,,,img_285.png,void,10
,15,166,,,123,,,img_286.png,void,15
top,,207,,,0,,,img_287.png,chip,16
,10,232,,,196,,,img_288.png,void,19
,8,236,,,47,,,img_289.png,void,11
,11,154,,,40,,,img_290.png,void,16
bottom,,170,,,256,,,img_291.png,chip,14
,,,,,,,,img_292.png,clean,20
,,,178,221,,179,211,img_293.png,scratch,18
,,,,,,,,img_294.png,clean,13
bottom,,88,,,256,,,img_295.png,chip,12
,,,,,,,,img_296.png,clean,20
,14,138,,,213,,,img_297.png,void,12
,15,194,,,164,,,img_298.png,void,19
left,,0,,,77,,,img_299.png,chip,20
left,,0,,,28,,,img_300.png,chip,17
,5,135,,,29,,,img_301.png,void,14
top,,46,,,0,,,img_302.png,chip,15
,,,,,,,,img_303.png,clean,18
,,,164,178,,243,212,img_304.png,scratch,17
,,,,,,,,img_305.png,clean,17
,,,,,,,,img_306.png,clean,15
,,,20,60,,126,132,img_307.png,scratch,18
,,,186,172,,190,189,img_308.png,scratch,18
,,,,,,,,img_309.png,clean,15
top,,168,,,0,,,img_310.png,chip,20
left,,0,,,76,,,img_311.png,chip,16
,,,179,212,,158,197,img_312.png,scratch,20
,,,43,64,,158,156,img_313.png,scratch,16
,,,47,62,,216,212,img_314.png,scratch,15
bottom,,109,,,256,,,img_315.png,chip,15
,,,70,29,,79,66,img_316.png,scratch,13
,,,,,,,,img_317.png,clean,18
bottom,,192,,,256,,,img_318.png,chip,20
,,,224,226,,22,18,img_319.png,scratch,19
,12,176,,,92,,,img_320.png,void,13
,,,158,132,,240,237,img_321.png,scratch,13
,9,138,,,216,,,img_322.png,void,19
,8,61,,,229,,,img_323.png,void,16
,,,128,160,,26,37,img_324.png,scratch,19
,,,,,,,,img_325.png,clean,18
,,,,,,,,img_326.png,clean,18
,,,,,,,,img_327.png,clean,14
right,,256,,,75,,,img_328.png,chip,12
top,,212,,,0,,,img_329.png,chip,17
,,,197,194,,41,19,img_330.png,scratch,15
,,,,,,,,img_331.png,clean,15
bottom,,70,,,256,,,img_332.png,chip,20
,5,134,,,177,,,img_333.png,void,12
,,,,,,,,img_334.png,clean,11
,,,76,40,,216,265,img_335.png,scratch,14
top,,24,,,0,,,img_336.png,chip,13
,12,36,,,48,,,img_337.png,void,19
,,,,,,,,img_338.png,clean,19
,,,73,77,,149,99,img_339.png,scratch,20
,,,213,248,,95,130,img_340.png,scratch,15
top,,10,,,0,,,img_341.png,chip,18
,5,115,,,84,,,img_342.png,void,20
,,,,,,,,img_343.png,clean,15
,,,53,20,,170,125,img_344.png,scratch,15
bottom,,237,,,256,,,img_345.png,chip,18
,,,,,,,,img_346.png,clean,12
,,,,,,,,img_347.png,clean,17
,,,22,-23,,102,92,img_348.png,scratch,14
,12,228,,,159,,,img_349.png,void,18
,,,,,,,,img_350.png,clean,14
,,,146,195,,182,138,img_351.png,scratch,20
top,,188,,,0,,,img_352.png,chip,15
,12,106,,,67,,,img_353.png,void,17
left,,0,,,42,,,img_354.png,chip,17
,,,150,113,,164,124,img_355.png,scratch,19
left,,0,,,228,,,img_356.png,chip,20
right,,256,,,21,,,img_357.png,chip,17
,,,,,,,,img_358.png,clean,14
,15,113,,,151,,,img_359.png,void,11
,,,,,,,,img_360.png,clean,12
,6,28,,,52,,,img_361.png,void,12
left,,0,,,196,,,img_362.png,chip,13
,12,114,,,115,,,img_363.png,void,20
,,,187,177,,203,236,img_364.png,scratch,11
,,,,,,,,img_365.png,clean,13
,,,255,276,,198,163,img_366.png,scratch,10
,9,74,,,176,,,img_367.png,void,14
,,,62,21,,69,76,img_368.png,scratch,17
,,,,,,,,img_369.png,clean,17
left,,0,,,33,,,img_370.png,chip,20
,,,185,150,,114,89,img_371.png,scratch,20
,13,26,,,112,,,img_372.png,void,13
right,,256,,,66,,,img_373.png,chip,19
,11,154,,,125,,,img_374.png,void,16
,,,,,,,,img_375.png,clean,19
top,,230,,,0,,,img_376.png,chip,12
,,,93,98,,66,80,img_377.png,scratch,15
,,,155,125,,84,75,img_378.png,scratch,11
left,,0,,,40,,,img_379.png,chip,13
bottom,,155,,,256,,,img_380.png,chip,18
,,,87,109,,172,127,img_381.png,scratch,12
,,,,,,,,img_382.png,clean,11
bottom,,213,,,256,,,img_383.png,chip,20
left,,0,,,247,,,img_384.png,chip,18
,6,96,,,136,,,img_385.png,void,20
,,,225,236,,212,221,img_386.png,scratch,10
,,,160,203,,163,157,img_387.png,scratch,15
top,,163,,,0,,,img_388.png,chip,12
,6,83,,,56,,,img_389.png,void,14
right,,256,,,214,,,img_390.png,chip,10
bottom,,81,,,256,,,img_391.png,chip,19
right,,256,,,11,,,img_392.png,chip,17
,,,110,66,,180,136,img_393.png,scratch,17
,5,93,,,157,,,img_394.png,void,17
,10,54,,,87,,,img_395.png,void,11
top,,205,,,0,,,img_396.png,chip,16
left,,0,,,37,,,img_397.png,chip,13
top,,65,,,0,,,img_398.png,chip,18
bottom,,101,,,256,,,img_399.png,chip,15
,,,,,,,,img_400.png,clean,10
right,,256,,,233,,,img_401.png,chip,12
left,,0,,,83,,,img_402.png,chip,12
right,,256,,,153,,,img_403.png,chip,14
,,,,,,,,img_404.png,clean,15
top,,242,,,0,,,img_405.png,chip,16
,,,26,-3,,245,262,img_406.png,scratch,19
,15,57,,,230,,,img_407.png,void,19
,,,,,,,,img_408.png,clean,13
,,,,,,,,img_409.png,clean,19
,,,,,,,,img_410.png,clean,13
right,,256,,,77,,,img_411.png,chip,17
,5,208,,,206,,,img_412.png,void,16
,,,166,183,,244,242,img_413.png,scratch,12
,13,156,,,107,,,img_414.png,void,12
right,,256,,,98,,,img_415.png,chip,15
,,,152,192,,147,123,img_416.png,scratch,14
right,,256,,,178,,,img_417.png,chip,17
,10,121,,,229,,,img_418.png,void,19
top,,147,,,0,,,img_419.png,chip,12
right,,256,,,109,,,img_420.png,chip,20
bottom,,55,,,256,,,img_421.png,chip,18
,,,119,81,,26,28,img_422.png,scratch,20
,,,,,,,,img_423.png,clean,17
,,,2,4,,80,113,img_424.png,scratch,20
,,,147,133,,164,196,img_425.png,scratch,17
,,,19,22,,89,61,img_426.png,scratch,11
,9,67,,,211,,,img_427.png,void,16
,,,,,,,,img_428.png,clean,10
,,,,,,,,img_429.png,clean,14
right,,256,,,252,,,img_430.png,chip,15
,,,57,27,,169,212,img_431.png,scratch,14
bottom,,7,,,256,,,img_432.png,chip,20
,,,89,93,,207,222,img_433.png,scratch,19
,7,191,,,44,,,img_434.png,void,11
,5,102,,,83,,,img_435.png,void,12
,9,80,,,134,,,img_436.png,void,14
top,,133,,,0,,,img_437.png,chip,15
,,,,,,,,img_438.png,clean,10
bottom,,207,,,256,,,img_439.png,chip,17
left,,0,,,113,,,img_440.png,chip,20
,10,211,,,175,,,img_441.png,void,12
,15,213,,,157,,,img_442.png,void,16
,,,41,58,,228,268,img_443.png,scratch,13
,,,,,,,,img_444.png,clean,11
,,,76,67,,84,100,img_445.png,scratch,10
,,,250,265,,46,53,img_446.png,scratch,11
,,,212,234,,233,190,img_447.png,scratch,17
top,,202,,,0,,,img_448.png,chip,17
,,,,,,,,img_449.png,clean,13
,6,108,,,199,,,img_450.png,void,10
,,,,,,,,img_451.png,clean,18
,11,28,,,93,,,img_452.png,void,11
,,,215,213,,191,198,img_453.png,scratch,12
,,,,,,,,img_454.png,clean,16
,,,178,150,,60,78,img_455.png,scratch,20
,,,114,160,,1,-47,img_456.png,scratch,18
,8,156,,,117,,,img_457.png,void,17
,9,108,,,59,,,img_458.png,void,13
,,,,,,,,img_459.png,clean,13
,5,177,,,216,,,img_460.png,void,10
,,,34,60,,51,5,img_461.png,scratch,13
,,,,,,,,img_462.png,clean,19
,,,,,,,,img_463.png,clean,13
,8,79,,,158,,,img_464.png,void,16
,,,148,191,,119,142,img_465.png,scratch,10
bottom,,154,,,256,,,img_466.png,chip,19
,5,96,,,90,,,img_467.png,void,13
,,,218,174,,253,247,img_468.png,scratch,18
,10,221,,,154,,,img_469.png,void,20
,11,58,,,96,,,img_470.png,void,16
,9,81,,,77,,,img_471.png,void,12
,11,34,,,163,,,img_472.png,void,12
,,,198,180,,124,100,img_473.png,scratch,16
,,,,,,,,img_474.png,clean,20
top,,97,,,0,,,img_475.png,chip,17
,,,,,,,,img_476.png,clean,20
,,,111,87,,245,237,img_477.png,scratch,11
,,,97,142,,60,106,img_478.png,scratch,10
,,,203,223,,122,113,img_479.png,scratch,13
,10,156,,,186,,,img_480.png,void,16
left,,0,,,254,,,img_481.png,chip,14
bottom,,189,,,256,,,img_482.png,chip,17
,,,74,57,,8,28,img_483.png,scratch,19
,8,95,,,59,,,img_484.png,void,19
,,,194,207,,125,145,img_485.png,scratch,15
left,,0,,,250,,,img_486.png,chip,20
,,,71,44,,250,269,img_487.png,scratch,15
,,,,,,,,img_488.png,clean,10
,,,,,,,,img_489.png,clean,11
,15,55,,,235,,,img_490.png,void,10
,,,,,,,,img_491.png,clean,13
,,,,,,,,img_492.png,clean,12
,14,115,,,35,,,img_493.png,void,13
,5,188,,,144,,,img_494.png,void,20
,13,23,,,24,,,img_495.png,void,10
top,,220,,,0,,,img_496.png,chip,14
,,,123,152,,98,115,img_497.png,scratch,18
right,,256,,,40,,,img_498.png,chip,15
,,,115,152,,153,113,img_499.png,scratch,19
,,,,,,,,img_500.png,clean,20
,13,117,,,116,,,img_501.png,void,11
,,,,,,,,img_502.png,clean,17
,,,,,,,,img_503.png,clean,20
,,,,,,,,img_504.png,clean,12
,10,185,,,220,,,img_505.png,void,17
,,,,,,,,img_506.png,clean,19
,,,,,,,,img_507.png,clean,18
,,,243,198,,138,97,img_508.png,scratch,13
,,,,,,,,img_509.png,clean,14
top,,106,,,0,,,img_510.png,chip,12
,,,,,,,,img_511.png,clean,16
,,,123,159,,199,218,img_512.png,scratch,14
,,,40,85,,256,250,img_513.png,scratch,16
,6,79,,,234,,,img_514.png,void,11
,5,218,,,103,,,img_515.png,void,15
right,,256,,,251,,,img_516.png,chip,20
,14,67,,,194,,,img_517.png,void,16
,14,41,,,217,,,img_518.png,void,20
,,,37,21,,42,11,img_519.png,scratch,14
,,,199,195,,162,125,img_520.png,scratch,20
right,,256,,,184,,,img_521.png,chip,10
,,,220,241,,229,250,img_522.png,scratch,11
,,,,,,,,img_523.png,clean,16
,,,,,,,,img_524.png,clean,10
,,,,,,,,img_525.png,clean,15
right,,256,,,6,,,img_526.png,chip,19
,,,86,57,,194,161,img_527.png,scratch,11
right,,256,,,74,,,img_528.png,chip,14
,6,96,,,143,,,img_529.png,void,14
bottom,,253,,,256,,,img_530.png,chip,15
top,,202,,,0,,,img_531.png,chip,12
,15,105,,,130,,,img_532.png,void,15
,,,153,180,,164,202,img_533.png,scratch,19
bottom,,203,,,256,,,img_534.png,chip,17
,8,167,,,220,,,img_535.png,void,20
,11,91,,,229,,,img_536.png,void,15
,,,,,,,,img_537.png,clean,15
,,,92,135,,13,22,img_538.png,scratch,19
,6,224,,,94,,,img_539.png,void,13
,9,55,,,182,,,img_540.png,void,16
bottom,,216,,,256,,,img_541.png,chip,13
,13,169,,,122,,,img_542.png,void,19
,10,159,,,29,,,img_543.png,void,18
,,,,,,,,img_544.png,clean,18
,,,181,213,,85,113,img_545.png,scratch,11
,11,212,,,104,,,img_546.png,void,19
,,,,,,,,img_547.png,clean,11
bottom,,113,,,256,,,img_548.png,chip,11
,,,176,187,,12,-25,img_549.png,scratch,17
,,,,,,,,img_550.png,clean,16
,,,178,171,,159,167,img_551.png,scratch,11
,6,109,,,141,,,img_552.png,void,18
,9,101,,,37,,,img_553.png,void,17
,,,,,,,,img_554.png,clean,10
top,,84,,,0,,,img_555.png,chip,10
,,,169,178,,218,197,img_556.png,scratch,18
,,,95,95,,221,174,img_557.png,scratch,20
,,,230,229,,219,169,img_558.png,scratch,19
,,,142,165,,32,-5,img_559.png,scratch,13
left,,0,,,100,,,img_560.png,chip,12
,10,155,,,183,,,img_561.png,void,20
,14,176,,,120,,,img_562.png,void,19
left,,0,,,234,,,img_563.png,chip,11
,,,,,,,,img_564.png,clean,14
,,,160,140,,60,49,img_565.png,scratch,20
bottom,,198,,,256,,,img_566.png,chip,12
,12,128,,,67,,,img_567.png,void,19
,,,85,71,,250,217,img_568.png,scratch,20
,10,178,,,33,,,img_569.png,void,15
,11,54,,,69,,,img_570.png,void,10
,12,124,,,195,,,img_571.png,void,18
,6,145,,,62,,,img_572.png,void,16
,,,,,,,,img_573.png,clean,19
top,,140,,,0,,,img_574.png,chip,13
,12,164,,,210,,,img_575.png,void,12
,,,,,,,,img_576.png,clean,18
,,,,,,,,img_577.png,clean,19
top,,225,,,0,,,img_578.png,chip,14
,,,152,159,,16,-1,img_579.png,scratch,20
,8,50,,,218,,,img_580.png,void,11
right,,256,,,84,,,img_581.png,chip,13
,,,,,,,,img_582.png,clean,13
left,,0,,,86,,,img_583.png,chip,19
top,,69,,,0,,,img_584.png,chip,14
,,,67,35,,127,168,img_585.png,scratch,20
,14,145,,,56,,,img_586.png,void,13
right,,256,,,192,,,img_587.png,chip,20
,9,151,,,211,,,img_588.png,void,11
,14,144,,,103,,,img_589.png,void,15
,,,,,,,,img_590.png,clean,10
top,,203,,,0,,,img_591.png,chip,17
left,,0,,,145,,,img_592.png,chip,17
,15,221,,,107,,,img_593.png,void,12
,,,,,,,,img_594.png,clean,10
,7,24,,,51,,,img_595.png,void,11
,8,20,,,129,,,img_596.png,void,17
bottom,,140,,,256,,,img_597.png,chip,12
,,,,,,,,img_598.png,clean,14
,,,26,56,,202,191,img_599.png,scratch,15
,6,187,,,43,,,img_600.png,void,13
,,,244,210,,39,64,img_601.png,scratch,10
,10,22,,,22,,,img_602.png,void,18
,12,197,,,53,,,img_603.png,void,11
,,,196,239,,45,8,img_604.png,scratch,11
left,,0,,,70,,,img_605.png,chip,15
,,,35,63,,4,37,img_606.png,scratch,12
bottom,,77,,,256,,,img_607.png,chip,17
,,,44,11,,51,97,img_608.png,scratch,17
,10,109,,,129,,,img_609.png,void,19
,,,141,122,,43,63,img_610.png,scratch,12
top,,154,,,0,,,img_611.png,chip,19
,,,200,232,,151,107,img_612.png,scratch,18
,12,48,,,81,,,img_613.png,void,17
,,,,,,,,img_614.png,clean,20
,,,,,,,,img_615.png,clean,18
bottom,,198,,,256,,,img_616.png,chip,15
,,,241,193,,37,62,img_617.png,scratch,20
bottom,,20,,,256,,,img_618.png,chip,10
right,,256,,,216,,,img_619.png,chip,18
,,,142,131,,42,2,img_620.png,scratch,18
,,,167,192,,200,231,img_621.png,scratch,13
,,,,,,,,img_622.png,clean,20
,8,206,,,236,,,img_623.png,void,14
,,,44,8,,222,230,img_624.png,scratch,10
,,,,,,,,img_625.png,clean,19
,,,61,101,,6,-27,img_626.png,scratch,14
,,,254,270,,177,193,img_627.png,scratch,10
,,,190,235,,64,113,img_628.png,scratch,14
,,,,,,,,img_629.png,clean,11
,6,89,,,154,,,img_630.png,void,15
,,,,,,,,img_631.png,clean,14
,5,150,,,112,,,img_632.png,void,17
,,,188,170,,80,128,img_633.png,scratch,17
,,,,,,,,img_634.png,clean,19
,,,,,,,,img_635.png,clean,13
,,,,,,,,img_636.png,clean,10
,,,,,,,,img_637.png,clean,13
right,,256,,,76,,,img_638.png,chip,17
,8,77,,,102,,,img_639.png,void,20
left,,0,,,39,,,img_640.png,chip,16
